,Region,form,location,price,size,layouts,detail,href
46,人民南,整租 ,高嘉大厦距9号线文锦地铁站步行71m,2800,33,1室1厅1卫, 高嘉大厦 1室1厅1卫,https://short.58.com/zd_p/2bcde943-aa79-4697-a8da-9c35fa2431e2/?target=fh-16-xgk_hvimob_57330243876013q-feykn&end=end&shangquan=renminnan&shangquanId=2678&dataSource=1
47,南岭,整租 ,黄金豪庭(龙岗)距3号线丹竹头地铁站步行1255m,1900,42,1室1厅1卫, 黄金豪庭(龙岗) 1室1厅1卫,https://short.58.com/zd_p/375ff896-8f4a-44c5-a810-d5034a5a1ab3/?target=fh-16-xgk_hvimob_57532582709387q-feykn&end=end&shangquan=sznl&shangquanId=15551&dataSource=1
48,东门,单间 ,深运大厦,3000,15,主卧(1室), 深运大厦 1室0厅1卫 主卧,https://short.58.com/zd_p/5af5f7fe-4e5d-4bce-b2ae-cd4b0eff8fcc/?target=fh-16-xgk_ephv_57895115940803q-feykn&end=end&shangquan=dongmen&shangquanId=1826&dataSource=1
49,平湖,整租 ,花半里欣悦广场,1400,30,1室1厅1卫, 花半里欣悦广场 1室1厅1卫,https://short.58.com/zd_p/750e17ac-e4b6-4b99-87ba-00b872e46a0e/?target=fh-16-xgk_hvimob_57865170127831q-feykn&end=end&shangquan=szpinghu&shangquanId=11916&dataSource=1
50,龙华区政府,整租 ,富联二区距4号线清湖地铁站步行1262m,1100,22,1室0厅1卫, 富联二区 1室0厅1卫,https://short.58.com/zd_p/8e3470a5-36a5-45c2-b067-b8d898464e41/?target=fh-16-xgk_hvimob_57537823196208q-feykn&end=end&shangquan=lhqzfsz&shangquanId=116835&dataSource=1
51,横岗,整租 ,保成泰八达产业园距3号线塘坑地铁站步行503m,1980,45,1室1厅1卫, 保成泰八达产业园 1室1厅1卫,https://sz.58.com/zufang/41372681516070x.shtml?houseId=1373661549995021&shangquan=henggang&shangquanId=1856&dataSource=0
52,新洲,整租 ,嘉葆润金座距7号线沙尾地铁站步行734m,7000,60,2室1厅1卫, 嘉葆润金座 2室1厅1卫,https://sz.58.com/zufang/41416603221264x.shtml?houseId=1379283528342530&shangquan=szxinzhou&shangquanId=2670&dataSource=0
53,惠州,整租 ,雅庭居,1800,98,3室2厅1卫, 雅庭居 3室2厅1卫,https://sz.58.com/zufang/41431057505190x.shtml?houseId=1381133676665866&shangquan=huizhouszzb&shangquanId=117096&dataSource=0
54,前海,整租 ,阳光花地苑,6800,64,2室1厅1卫, 阳光花地苑 2室1厅1卫,https://sz.58.com/zufang/37533985058441x.shtml?houseId=882308403617793&shangquan=qianhai&shangquanId=2685&dataSource=0
55,民治,单间 ,书香门第上河坊,2000,25,次卧(5室), 书香门第上河坊 5室2厅2卫 次卧 南,https://sz.58.com/hezu/41306117470350x.shtml?houseId=1365141352275974&shangquan=minzhi&shangquanId=6145&dataSource=0
56,清湖,单间 ,幸福城(二期),1800,11,次卧(6室), 幸福城(二期) 6室2厅2卫 次卧 南,https://sz.58.com/hezu/41404083549210x.shtml?houseId=1377681010154503&shangquan=qhsz&shangquanId=116836&dataSource=0
57,蔡屋围,整租 ,幸福华府距9号线红岭地铁站步行518m,4200,45,1室1厅1卫, 幸福华府 1室1厅1卫,https://sz.58.com/zufang/41237488270724x.shtml?houseId=1356356814480384&shangquan=caiwuwei&shangquanId=2679&dataSource=0
58,民治,整租 ,龙光玖钻距4号线红山地铁站步行538m,6500,50,2室1厅1卫, 龙光玖钻 2室 1厅1卫,https://sz.58.com/zufang/41394534675596x.shtml?houseId=1376458753350661&shangquan=minzhi&shangquanId=6145&dataSource=0
59,坂田,整租 ,大发埔村距5号线五和地铁站步行736m,1600,30,1室0厅1卫, 大发埔村 1室0厅1卫,https://sz.58.com/zufang/41431040540931x.shtml?houseId=1381131505263626&shangquan=bantianq&shangquanId=2688&dataSource=0
60,丹竹头,整租 ,时光里距3号线丹竹头地铁站步行275m,900,18,1室0厅1卫, 时光里 1室0厅1卫,https://short.58.com/zd_p/13bfab67-0586-4e88-8314-a36ebc5d239c/?target=fh-16-xgk_hvimob_57542702212459q-feykn&end=end&shangquan=szshawan&shangquanId=12817&dataSource=1
61,美丽365花园,整租 ,富联一区距4号线清湖地铁站步行503m,1500,26,1室0厅1卫, 富联一区 1室0厅1卫,https://short.58.com/zd_p/5c943d8b-cea1-4ba4-944d-f155546812bd/?target=fh-16-xgk_hvimob_57823048904110q-feykn&end=end&shangquan=meilihy&shangquanId=14559&dataSource=1
62,沙尾,单间 ,沙尾西村,1400,20,主卧(3室), 沙尾西村 3室1厅1卫 主卧 南,https://short.58.com/zd_p/72a81e19-5d6e-4791-8275-f52afff42b9b/?target=fh-16-xgk_ephv_54685931189438q-feykn&end=end&shangquan=shawei&shangquanId=6092&dataSource=1
63,龙华,整租 ,警备区龙华公寓,3200,70,2室1厅1卫, 警备区龙华公寓 2室1厅1卫,https://short.58.com/zd_p/ed13ec54-ad16-440f-899c-6e17863134ea/?target=fh-16-xgk_hvimob_57832153472037q-feykn&end=end&shangquan=longhua&shangquanId=1850&dataSource=1
64,龙华区政府,整租 ,富联二区距4号线清湖地铁站步行1262m,1450,30,1室0厅1卫, 富联二区 1室0厅1卫,https://short.58.com/zd_p/9c24f425-3967-48c5-a4b3-4d218724903f/?target=fh-16-xgk_hvimob_57537518037945q-feykn&end=end&shangquan=lhqzfsz&shangquanId=116835&dataSource=1
65,西丽,单间 ,嘉兴苑,1700,20,其他(4室), 嘉兴苑 4室2厅1卫 其他 东,https://short.58.com/zd_p/c09c4721-99a6-4da2-80fc-4afe5db4dec2/?target=fh-16-xgk_ephv_57570952641425q-feykn&end=end&shangquan=xililu&shangquanId=1841&dataSource=1
66,大浪,单间 ,龙泉信息科技园,600,25,主卧(1室), 龙泉信息科技园 1室1厅1卫 主卧 南,https://short.58.com/zd_p/54750132-8d02-4538-a1d0-9eb7ce00a05b/?target=fh-16-xgk_ephv_57828191459644q-feykn&end=end&shangquan=szdl&shangquanId=18232&dataSource=1
67,坂田,整租 ,大发埔东村六巷7号小区距5号线五和地铁站步行1194m,1300,25,1室0厅1卫, 大发埔东村六巷7号小区 1室0厅1卫,https://short.58.com/zd_p/26bc9c96-fd9d-4cfb-8eec-6da8ae55f357/?target=fh-16-xgk_hvimob_57868198109722q-feykn&end=end&shangquan=bantianq&shangquanId=2688&dataSource=1
68,龙华,整租 ,新城市花园,700,26,1室0厅1卫, 新城市花园 1室0厅1卫,https://short.58.com/zd_p/cce59908-2cd9-42d1-8ca7-ce01f8eea866/?target=fh-16-xgk_hvimob_57831862850468q-feykn&end=end&shangquan=longhua&shangquanId=1850&dataSource=1
69,东门,单间 ,深运大厦,3800,30,主卧(1室), 深运大厦 1室0厅1卫 主卧 南,https://short.58.com/zd_p/509606e0-7b52-4dc8-84fd-d879f434ce20/?target=fh-16-xgk_ephv_57895936911896q-feykn&end=end&shangquan=dongmen&shangquanId=1826&dataSource=1
70,龙华区政府,整租 ,马坜老二村,1500,30,1室1厅1卫, 马坜老二村 1室1厅1卫,https://short.58.com/zd_p/299d2484-8232-4d26-8af2-2f578455889c/?target=fh-16-xgk_hvimob_57816051904181q-feykn&end=end&shangquan=lhqzfsz&shangquanId=116835&dataSource=1
71,人民南,整租 ,高嘉大厦距9号线文锦地铁站步行71m,2800,33,1室1厅1卫, 高嘉大厦 1室1厅1卫,https://short.58.com/zd_p/28707c0f-1e73-4e14-9831-d4a8c48e4458/?target=fh-16-xgk_hvimob_57330243876013q-feykn&end=end&shangquan=renminnan&shangquanId=2678&dataSource=1
72,前海,整租 ,观峰阁距5号线荔湾地铁站步行286m,7000,77,3室0厅3卫, 观峰阁 3室0厅3卫,https://sz.58.com/zufang/40190688929055x.shtml?houseId=1222366498741248&shangquan=qianhai&shangquanId=2685&dataSource=0
73,新洲,整租 ,嘉洲华苑距7号线上沙地铁站步行1401m,8300,84,4室1厅1卫, 嘉洲华苑 4室1厅1卫,https://sz.58.com/zufang/41431058968221x.shtml?houseId=1381133863836676&shangquan=szxinzhou&shangquanId=2670&dataSource=0
74,横岗,整租 ,丹竹头岭背东距3号线丹竹头地铁站步行386m,1850,30,1室1厅1卫, 丹竹头岭背东 1室1厅1卫,https://sz.58.com/zufang/41430861370907x.shtml?houseId=1381108571414535&shangquan=henggang&shangquanId=1856&dataSource=0
75,东门,单间 ,深运大厦,3000,15,主卧(1室), 深运大厦 1室0厅1卫 主卧,https://short.58.com/zd_p/17849600-1142-4003-b581-fd2336e5fb78/?target=fh-16-xgk_ephv_57895115940803q-feykn&end=end&shangquan=dongmen&shangquanId=1826&dataSource=1
76,平湖,整租 ,同创新作,3300,40,2室1厅1卫, 同创新作 2室1厅1卫,https://short.58.com/zd_p/dd99bfcc-846b-49a8-a25a-809c1a71060e/?target=fh-16-xgk_hvimob_87522352236754q-feykn&end=end&shangquan=szpinghu&shangquanId=11916&dataSource=1
77,丹竹头,单间 ,丹平小区,780,18,主卧(1室), 丹平小区 1室0厅1卫 主卧 南,https://short.58.com/zd_p/c3e421ee-c858-4991-a671-3532ec0e451b/?target=fh-16-xgk_ephv_57892186706630q-feykn&end=end&shangquan=szshawan&shangquanId=12817&dataSource=1
78,西丽,单间 ,留仙茗苑,1000,15,次卧(5室), 留仙茗苑 5室1厅1卫 次卧 朝南北,https://short.58.com/zd_p/4fa29b87-ec8e-4f6f-8227-b61a96b4fe81/?target=fh-16-xgk_ephv_57894793464369q-feykn&end=end&shangquan=xililu&shangquanId=1841&dataSource=1
79,沙井,整租 ,塘尾九区距11号线塘尾地铁站步行1312m,1200,40,2室1厅1卫, 塘尾九区 2室1厅1卫,https://short.58.com/zd_p/1955256f-028d-487e-b8ca-836d169e959c/?target=fh-16-xgk_hvimob_57789934569718q-feykn&end=end&shangquan=shajing&shangquanId=1846&dataSource=1
80,观澜,整租 ,科苑观澜,3700,98,3室2厅2卫, 科苑观澜 3室2厅2卫,https://short.58.com/zd_p/3f20dc60-7c5c-4fe1-af26-12758c54e9ae/?target=fh-16-xgk_hvimob_57857609564178q-feykn&end=end&shangquan=guanlansz&shangquanId=6177&dataSource=1
81,大浪,整租 ,茶角坎二区,900,25,1室0厅1卫, 茶角坎二区 1室 0厅1卫,https://short.58.com/zd_p/d8b476e0-16e2-4d66-b4bc-b09169eaf441/?target=fh-16-xgk_hvimob_57545015380262q-feykn&end=end&shangquan=szdl&shangquanId=18232&dataSource=1
82,大运,整租 ,阳光天健城,6500,138,3室2厅2卫, 阳光天健城 3室2厅2卫,https://short.58.com/zd_p/6f43d049-0f43-4532-a233-182a01268a71/?target=fh-16-xgk_hvimob_57541005773902q-feykn&end=end&shangquan=dayunxc&shangquanId=14731&dataSource=1
83,香蜜湖,单间 ,特发小区,1750,9,主卧(6室), 特发小区 6室2厅2卫 主卧 南,https://short.58.com/zd_p/5cdd4a49-2b68-4cb6-8415-c7cd42c1ff79/?target=fh-16-xgk_ephv_82441212407178q-feykn&end=end&shangquan=xiangmihu&shangquanId=2579&dataSource=1
84,宝安中心区,整租 ,富源花园距5号线翻身地铁站步行556m,2400,40,1室1厅1卫, 富源花园 1室1厅1卫,https://sz.58.com/zufang/41431042629015x.shtml?houseId=1381131772648456&shangquan=baoanzhongxinquba&shangquanId=6150&dataSource=0
85,民治,整租 ,红山6979距4号线红山地铁站步行925m,1650,25,1室0厅1卫, 红山6979 1室0厅1卫,https://sz.58.com/zufang/41431471156737x.shtml?houseId=1381186623987727&shangquan=minzhi&shangquanId=6145&dataSource=0
86,龙华中心区,整租 ,集瑞楼一区距4号线龙华地铁站步行1321m,2300,45,2室1厅1卫, 集瑞楼一区 2室1厅1卫,https://sz.58.com/zufang/41431469106464x.shtml?houseId=1381186361875465&shangquan=szlhzxq&shangquanId=18231&dataSource=0
87,龙华,整租 ,特发和平里(一期)距4号线龙胜地铁站步行473m,7000,95,3室1厅1卫, 特发和平里(一期) 3室1厅1卫,https://sz.58.com/zufang/41431476573835x.shtml?houseId=1381187317424137&shangquan=longhua&shangquanId=1850&dataSource=0
88,桥头,整租 ,大洋花园距11号线桥头地铁站步行643m,1150,39,1室0厅1卫, 大洋花园 1室0厅1卫,https://sz.58.com/zufang/41409886826628x.shtml?houseId=1378423829732365&shangquan=qiaots&shangquanId=118580&dataSource=0
89,新安,整租 ,上合花园距5号线洪浪北地铁站步行1150m,1680,38,1室0厅1卫, 上合花园 1室0厅1卫,https://sz.58.com/zufang/41350388148899x.shtml?houseId=1370807995718656&shangquan=xinanlu&shangquanId=1842&dataSource=0
90,福田中心区,单间 ,沙嘴二坊171号小区,1150,10,其他(1室), 沙嘴二坊171号小区 1室1厅1卫 其他 南,https://sz.58.com/hezu/41398141341698x.shtml?houseId=1376920407677963&shangquan=ftzxsz&shangquanId=116833&dataSource=0
91,横岗,整租 ,振业城(北区)距3号线六约地铁站步行1135m,1500,20,1室0厅1卫, 振业城(北区) 1室0厅1卫,https://sz.58.com/zufang/41431437350669x.shtml?houseId=1381182296712206&shangquan=henggang&shangquanId=1856&dataSource=0
92,翠竹,整租 ,阳光绿地家园距5号线怡景地铁站步行857m,4000,40,1室1厅1卫, 阳光绿地家园 1室1厅1卫,https://sz.58.com/zufang/41384926807299x.shtml?houseId=1375228947259398&shangquan=cuizhu&shangquanId=1827&dataSource=0
93,横岗,整租 ,松柏路121号小区距3号线横岗地铁站步行454m,2400,90,2室1厅1卫, 松柏路121号小区 2室1厅1卫,https://sz.58.com/zufang/41438461814685x.shtml?houseId=1382081428184068&shangquan=henggang&shangquanId=1856&dataSource=0
94,龙华中心区,整租 ,弓村二区距4号线清湖地铁站步行1282m,2300,58,2室1厅1卫, 弓村二区 2室1厅1卫,https://sz.58.com/zufang/41438443840801x.shtml?houseId=1382079127773191&shangquan=szlhzxq&shangquanId=18231&dataSource=0
95,坪山,整租 ,德昌东街,1080,80,2室1厅1卫, 德昌东街 2室1厅1卫,https://sz.58.com/zufang/39229136519562x.shtml?houseId=1099287790952448&shangquan=pingsh&shangquanId=14724&dataSource=0
96,龙华,整租 ,鸿荣源壹成中心花园距4号线龙华地铁站步行837m,8050,100,4室1厅2卫, 鸿荣源壹成中心花园 4室1厅2卫,https://sz.58.com/zufang/41394285467399x.shtml?houseId=1376426855687172&shangquan=longhua&shangquanId=1850&dataSource=0
97,西乡,整租 ,固戍塘西新村距1号线固戍地铁站步行837m,2680,60,2室1厅1卫, 固戍塘西新村 2室1厅1卫,https://sz.58.com/zufang/41352568125193x.shtml?houseId=1371087036015620&shangquan=xixiangsz&shangquanId=6151&dataSource=0
98,民治,整租 ,金地梅陇镇,6000,90,3室2厅2卫, 金地梅陇镇 3室 2厅2卫,https://sz.58.com/zufang/41360757055014x.shtml?houseId=1372135219060744&shangquan=minzhi&shangquanId=6145&dataSource=0
99,白石洲,单间 ,白石洲建行宿舍,700,35,主卧(2室), 白石洲建行宿舍 2室1厅1卫 主卧 南,https://sz.58.com/hezu/41034622995219x.shtml?houseId=1330390059162631&shangquan=baishizhou&shangquanId=6101&dataSource=0
100,观澜,整租 ,珑门,4300,82,3室2厅2卫, 珑门 3室2厅2卫,https://sz.58.com/zufang/36828062957849x.shtml?houseId=869661368997888&shangquan=guanlansz&shangquanId=6177&dataSource=0
